product_type,category_slug,source_country,bd_availability,demand_score,avg_price_usd,min_price_usd,max_price_usd,hs_code,import_duty_pct,vat_pct,min_lead_air,max_lead_air,min_lead_sea,max_lead_sea,restriction_level,sourcing_note
Siemens S7-1200 PLC,industrial-automation,DE/CN,2,9,320,280,420,8537.10,10,15,7,12,28,45,low,Available via CN distributors; genuine Siemens at 30-40% less than BD price
Mitsubishi FX5U PLC,industrial-automation,JP/CN,1,9,280,240,380,8537.10,10,15,7,12,28,45,low,Best sourced from SG authorised distributors
Delta DVP Series PLC,industrial-automation,TW/CN,3,8,180,140,260,8537.10,10,15,5,10,20,35,low,Taiwan origin; widely available on Alibaba
ABB ACS355 VFD Drive,industrial-automation,CN/SG,2,8,420,350,550,8504.40,10,15,6,11,22,38,low,SG has genuine stock; CN has grey market
Schneider Altivar VFD,industrial-automation,CN/SG,2,8,380,300,500,8504.40,10,15,6,11,22,38,low,Schneider authorized distributors in SG
Keyence FS-N Series Sensor,industrial-automation,JP/CN,1,9,85,65,130,8536.90,5,15,5,9,20,35,low,Japan precision sensors; critical for QC automation
Omron E3Z Photoelectric Sensor,industrial-automation,JP/CN,2,8,45,35,80,8543.70,5,15,5,9,20,35,low,Omron CN factory supply chain is well established
Sick DT35 Distance Sensor,industrial-automation,DE/CN,1,8,220,180,310,8543.70,5,15,7,12,28,45,low,SICK Germany; CN assembly versions available
Fanuc Servo Motor Alpha Series,industrial-automation,JP/CN,1,9,650,550,900,8501.52,15,15,8,14,30,50,medium,Fanuc controls subject to export licensing checks
Yaskawa Sigma-7 Servo Drive,industrial-automation,JP/CN,1,9,580,480,780,8504.40,10,15,8,14,30,50,medium,CN distributor stock available; check authenticity
Beckhoff EK1100 EtherCAT,industrial-automation,DE/CN,1,7,180,150,260,8537.10,10,15,7,12,28,45,low,German engineering; check firmware licensing
Festo DSBC Pneumatic Cylinder,industrial-automation,DE/CN,2,7,65,45,110,8412.31,5,15,6,11,22,38,low,Festo CN plant; good quality
SMC AF40-N06 Air Filter,industrial-automation,JP/CN,3,7,35,25,60,8421.39,5,15,5,9,20,35,low,SMC is widely available; BD has some stock
Phoenix Contact Terminal Block,industrial-automation,DE/CN,2,7,15,8,35,8536.90,5,15,5,9,18,32,low,Small items; easy to ship in bulk
IFM E50004 IO-Link Master,industrial-automation,DE/CN,1,8,280,220,380,8543.70,5,15,7,12,25,40,low,IFM Germany; CN stock available
